id,type,url,payload,user_id,session_id,received_at,created_at,domain
19500,from-directs,www.lessextension.com/,"""anticonsumption""",less-website,none,2025-03-27T01:06:50.771229+00:00,2025-03-27T01:06:50.771229+00:00,lessextension.com
19501,from-directs,www.lessextension.com/,"""chrome_extensions""",less-website,none,2025-03-27T04:40:08.182539+00:00,2025-03-27T04:40:08.182539+00:00,lessextension.com
19502,from-directs,www.lessextension.com/,"""chrome_extensions""",less-website,none,2025-03-27T04:40:12.087957+00:00,2025-03-27T04:40:12.087957+00:00,lessextension.com
19503,from-directs,www.lessextension.com/,"""shoppingaddiction""",less-website,none,2025-03-27T06:05:28.66007+00:00,2025-03-27T06:05:28.66007+00:00,lessextension.com
19504,from-directs,www.lessextension.com/,"""kua""",less-website,none,2025-03-27T07:16:26.763114+00:00,2025-03-27T07:16:26.763114+00:00,lessextension.com
19505,page-view,foto.foetex.dk/billeder.html,,390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:23:39.255773+00:00,2025-03-27T07:23:39.255773+00:00,foetex.dk
19506,time-spent,foto.foetex.dk/billeder.html,"{""duration"":5009}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:23:43.734083+00:00,2025-03-27T07:23:43.734083+00:00,foetex.dk
19507,time-spent,foto.foetex.dk/billeder.html,"{""duration"":2939}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:23:46.682027+00:00,2025-03-27T07:23:46.682027+00:00,foetex.dk
19508,page-view,foto.foetex.dk/billeder/fremkald-digitale-billeder.html,,390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:23:46.996001+00:00,2025-03-27T07:23:46.996001+00:00,foetex.dk
19509,time-spent,foto.foetex.dk/billeder/fremkald-digitale-billeder.html,"{""duration"":5001}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:23:51.700671+00:00,2025-03-27T07:23:51.700671+00:00,foetex.dk
19510,time-spent,foto.foetex.dk/billeder/fremkald-digitale-billeder.html,"{""duration"":5000}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:23:56.994224+00:00,2025-03-27T07:23:56.994224+00:00,foetex.dk
19511,time-spent,foto.foetex.dk/billeder/fremkald-digitale-billeder.html,"{""duration"":2373}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:23:59.462628+00:00,2025-03-27T07:23:59.462628+00:00,foetex.dk
19512,page-view,foto.foetex.dk/billeder/editor.html,,390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:24:00.380885+00:00,2025-03-27T07:24:00.380885+00:00,foetex.dk
19513,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":9160}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:24:10.452151+00:00,2025-03-27T07:24:10.452151+00:00,foetex.dk
19514,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":2491}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:24:35.394633+00:00,2025-03-27T07:24:35.394633+00:00,foetex.dk
19515,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":4999}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:24:40.393816+00:00,2025-03-27T07:24:40.393816+00:00,foetex.dk
19516,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":5000}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:24:45.39414+00:00,2025-03-27T07:24:45.39414+00:00,foetex.dk
19517,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":4999}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:24:50.385157+00:00,2025-03-27T07:24:50.385157+00:00,foetex.dk
19518,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":4998}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:24:55.49301+00:00,2025-03-27T07:24:55.49301+00:00,foetex.dk
19519,on-onboarding,www.lessextension.com/onboarding,"""""",none,none,2025-03-27T07:24:55.70906+00:00,2025-03-27T07:24:55.70906+00:00,lessextension.com
19520,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":5001}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:25:00.074214+00:00,2025-03-27T07:25:00.074214+00:00,foetex.dk
19521,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":5000}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:25:05.35591+00:00,2025-03-27T07:25:05.35591+00:00,foetex.dk
19522,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":6575}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:25:15.42709+00:00,2025-03-27T07:25:15.42709+00:00,foetex.dk
19523,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":5759}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:33:45.710035+00:00,2025-03-27T07:33:45.710035+00:00,foetex.dk
19524,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":4999}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:33:50.048997+00:00,2025-03-27T07:33:50.048997+00:00,foetex.dk
19525,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":5517}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:40:40.722692+00:00,2025-03-27T07:40:40.722692+00:00,foetex.dk
19526,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":5000}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:40:45.421165+00:00,2025-03-27T07:40:45.421165+00:00,foetex.dk
19527,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":5000}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:40:50.405327+00:00,2025-03-27T07:40:50.405327+00:00,foetex.dk
19528,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":4999}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:40:55.35524+00:00,2025-03-27T07:40:55.35524+00:00,foetex.dk
19529,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":4999}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:41:00.373517+00:00,2025-03-27T07:41:00.373517+00:00,foetex.dk
19530,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":4998}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:41:05.329304+00:00,2025-03-27T07:41:05.329304+00:00,foetex.dk
19531,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":4664}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:47:35.658547+00:00,2025-03-27T07:47:35.658547+00:00,foetex.dk
19532,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":4999}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:47:40.397387+00:00,2025-03-27T07:47:40.397387+00:00,foetex.dk
19533,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":5008}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:47:45.412385+00:00,2025-03-27T07:47:45.412385+00:00,foetex.dk
19534,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":4992}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:47:50.375503+00:00,2025-03-27T07:47:50.375503+00:00,foetex.dk
19535,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":4999}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:47:55.383829+00:00,2025-03-27T07:47:55.383829+00:00,foetex.dk
19536,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":5000}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:48:00.347484+00:00,2025-03-27T07:48:00.347484+00:00,foetex.dk
19537,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":4999}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:48:05.371261+00:00,2025-03-27T07:48:05.371261+00:00,foetex.dk
19538,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":5001}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:48:10.394116+00:00,2025-03-27T07:48:10.394116+00:00,foetex.dk
19539,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":4998}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:48:15.068357+00:00,2025-03-27T07:48:15.068357+00:00,foetex.dk
19540,time-spent,foto.foetex.dk/billeder/editor.html,"{""duration"":5001}",390c0190-33a3-4029-ae09-687bff0b77d6,a6b32a7b-6460-4208-a80b-7e2b6aeae61f,2025-03-27T07:48:20.375637+00:00,2025-03-27T07:48:20.375637+00:00,foetex.dk
