,1,2,3,4,5,6,7,8,9,10,11,12,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
0,18-24,Male,Denmark,Undergraduate,Finance / Accounting,Once every three months,Strongly disagree,Agree,Neither agree nor disagree,Food and Beverages,Agree,nan,Yes,5,Yes,4,Yes,5,No,2,Yes,3,Yes,4,Yes,4,No,3,Yes,2,Yes,3,No,5,No,4,No,4,Yes,4,Maybe,3,Yes,3,No,2,Maybe,3,No,1,Yes,4,No,3
1,25-34,Female,United States,Part-time Employee,Other,Once every three months,Agree,Strongly agree,Agree,Toys and Games|Books and Media,Neither agree nor disagree,nan,Yes,2,No,3,Yes,2,No,1,Yes,4,Yes,4,Yes,4,Yes,5,No,3,Yes,2,No,3,Yes,4,Yes,4,No,5,Maybe,2,No,3,Maybe,3,Yes,5,Yes,1,Yes,1,No,3
2,25-34,Male,Denmark,Unemployed,Technology / IT,Rarely / Never,Strongly disagree,Strongly disagree,Strongly disagree,,Neither agree nor disagree,"For someone doing it a lot, maybe some form of counter i.e ""this month you have purchased 20 pieces of clothes, are you suuuuuuure you need this?""  Otherwise, i think something that shows transparency in the Co2 waste of this purchase, I think it would deter a lot of purchases from the more cheap sketchy sites if that it is the goal ofc. ",Yes,4,No,4,Maybe,3,No,2,Yes,5,Yes,3,Yes,2,No,,Yes,3,Yes,4,No,4,No,3,No,4,Yes,4,No,2,Yes,5,Yes,5,Maybe,3,Yes,5,No,3,No,3
3,25-34,Male,Denmark,Graduate / Postgraduate,Technology / IT,Once a month,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Electronics and Gadgets|Toys and Games|Health and Beauty Products,Neither agree nor disagree,Maybe a counter that shows the amount of impulse buys you’ve made recently and the money you’ve spent ,Yes,4,No,4,Maybe,2,Maybe,2,Yes,4,Maybe,3,No,3,No,4,Yes,4,Yes,4,No,5,No,4,No,5,No,5,No,1,No,4,No,3,Maybe,3,Maybe,2,Maybe,2,No,3
4,25-34,Male,Finland,Undergraduate,Finance / Accounting,Once every three months,Disagree,Agree,Agree,Electronics and Gadgets|Clothing and Accessories,Neither agree nor disagree,Just ask me twice if I truly need the product. ,Yes,5,No,4,No,5,No,3,Yes,5,Yes,5,No,3,Yes,5,Maybe,4,Yes,4,Yes,3,No,3,No,4,Yes,3,Maybe,4,No,4,Yes,4,No,3,Yes,4,Maybe,3,No,3
5,18-24,Male,Netherlands,Part-time Employee,Finance / Accounting,2-3 times a month,Disagree,Neither agree nor disagree,Disagree,Electronics and Gadgets|Clothing and Accessories|Food and Beverages|Travel and Experiences,Disagree,Limiting the amount of relevant ada exposure and Highlighting negative feedback about the products,Yes,3,Yes,5,Yes,5,Yes,5,Yes,5,Yes,2,No,3,Yes,5,Yes,4,Yes,3,No,3,Yes,1,Yes,5,Yes,5,Yes,1,Yes,5,Yes,4,Yes,2,Yes,4,Yes,5,Yes,3
6,25-34,Female,Denmark,Graduate / Postgraduate,Technology / IT,Rarely / Never,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Health and Beauty Products,Disagree,,Yes,4,Yes,5,Yes,4,No,,Yes,3,Yes,4,No,,Yes,,Yes,3,Yes,2,No,,No,,No,,Maybe,,No,,Yes,2,No,,No,,No,,No,,No,
7,55-64,Female,United Kingdom,Prefer not to say,No industry,Rarely / Never,Strongly disagree,Disagree,Neither agree nor disagree,,Strongly disagree,"Something that would block 'suggestions' under the top few searches, a reminder 'do you really need this?' reminder of the environmental impact, asking if you can afford this, ",Yes,4,Yes,4,Maybe,3,Yes,1,Yes,4,Maybe,3,No,4,No,,Yes,3,Yes,5,No,,No,,No,,No,,Yes,4,No,,Maybe,2,Yes,5,Yes,3,Yes,4,Yes,4
8,35-44,Female,Italy,Full-time Employee,Education / Academic,2-3 times a month,Neither agree nor disagree,Disagree,Disagree,Clothing and Accessories|Travel and Experiences,Disagree,A tool that stop your purchases when you go beyond a amount,Yes,4,Yes,4,Yes,3,Yes,4,Yes,4,Yes,5,Yes,4,Yes,4,Yes,4,Yes,4,No,3,No,3,No,3,Maybe,5,Yes,4,Yes,4,Maybe,5,Yes,4,No,4,Yes,4,Yes,4
10,18-24,Female,United Kingdom,Graduate / Postgraduate,No industry,Once every three months,Disagree,Disagree,Disagree,Clothing and Accessories|Home and Garden|Books and Media|Food and Beverages,Neither agree nor disagree,Not really as it’s not something I think I personally have a problem with. ,Yes,5,Yes,3,Maybe,3,No,1,Yes,5,Yes,4,No,5,Maybe,1,Yes,4,Maybe,2,No,1,No,1,No,1,Yes,3,No,2,No,2,No,1,No,3,No,2,No,1,Yes,5
11,25-34,Male,Denmark,Undergraduate,Design / Creative Work,Once every three months,Disagree,Neither agree nor disagree,Neither agree nor disagree,Clothing and Accessories|Electronics and Gadgets|Books and Media|Sports and Fitness Equipment,Disagree,,Yes,2,No,3,Yes,4,No,3,Yes,5,Yes,4,Yes,3,Yes,5,Yes,3,Yes,4,No,3,No,3,No,3,No,3,Yes,4,Yes,4,Yes,4,Yes,3,No,3,No,3,No,3
12,18-24,Male,Brazil,Undergraduate,Technology / IT,Rarely / Never,Disagree,Strongly disagree,Disagree,Toys and Games,Agree,"Some text tips, like ""Would you still use this product in the next month?"" and a breathing exercise before completing the purchase.",Yes,5,No,,Yes,2,No,,Yes,5,Yes,4,No,4,Yes,2,No,,Yes,5,No,,No,4,No,,No,,Yes,,No,5,No,,No,,No,,No,4,No,
13,18-24,Female,Kazakhstan,Undergraduate,Other,Once a month,Agree,Disagree,Disagree,Home and Garden,Disagree,,Yes,3,Yes,3,No,3,Yes,1,Yes,5,No,3,No,1,Yes,5,Yes,5,Yes,5,No,1,No,1,No,1,Yes,1,No,1,No,1,Yes,4,Yes,3,No,1,Yes,3,No,4
15,18-24,Non-binary / Gender diverse,United States,Undergraduate,No industry,Once every three months,Disagree,Neither agree nor disagree,Disagree,Health and Beauty Products|Clothing and Accessories,Disagree,,Yes,4,No,3,Yes,3,Yes,3,Yes,4,Yes,5,No,4,No,3,Yes,4,Yes,5,No,3,No,2,No,2,No,2,Yes,3,Yes,5,Yes,3,Yes,4,Yes,4,Yes,4,Yes,4
16,25-34,Female,Denmark,Undergraduate,Education / Academic,Rarely / Never,Disagree,Neither agree nor disagree,Disagree,Home and Garden|Health and Beauty Products,Neither agree nor disagree,,Yes,5,No,,Yes,5,No,,Yes,4,Yes,5,No,,Yes,5,Yes,4,Yes,3,No,,No,,No,,No,,No,,Maybe,3,No,,Yes,3,Yes,4,Yes,4,Yes,5
